column,layer,top1,top1_prob,gold,gold_rank
Perturbed (knows),0,behalf,0.223,April,3942
Perturbed (knows),1,ijms,0.0702,April,9240
Perturbed (knows),2,ijms,0.0696,April,6939
Perturbed (knows),3,ijms,0.0398,April,7144
Perturbed (knows),4,ijms,0.0526,April,3023
Perturbed (knows),5,ijms,0.0936,April,1663
Perturbed (knows),6,ijms,0.116,April,572
Perturbed (knows),7,ijms,0.0402,April,940
Perturbed (knows),8,ijms,0.009,April,484
Perturbed (knows),9,the,0.0072,April,307
Perturbed (knows),10,ijms,0.0467,April,118
Perturbed (knows),11,ijms,0.1072,April,84
Perturbed (knows),12,“,0.0121,April,33
Perturbed (knows),13,condition,0.0082,April,109
Perturbed (knows),14,the,0.0075,April,345
Perturbed (knows),15,“,0.0145,April,112
Perturbed (knows),16,a,0.0097,April,41
Perturbed (knows),17,April,0.0204,April,1
Perturbed (knows),18,a,0.011,April,4
Perturbed (knows),19,a,0.0141,April,2
Perturbed (knows),20,a,0.0151,April,5
Perturbed (knows),21,April,0.0125,April,1
Perturbed (knows),22,April,0.0156,April,1
Perturbed (knows),23,c,0.0168,April,4
Perturbed (knows),24,August,0.0523,April,3
Perturbed (knows),25,August,0.0552,April,4
Perturbed (knows),26,August,0.0551,April,5
Perturbed (knows),27,August,0.0608,April,7
Perturbed (knows),28,May,0.1448,April,4
Perturbed (knows),29,Beck,0.5918,April,8
Perturbed (knows),30,Beck,0.352,April,4
Perturbed (knows),31,April,0.094,April,1
Perturbed (knows),32,April,0.1645,April,1
Perturbed (knows),33,April,0.1982,April,1
Perturbed (knows),34,April,0.255,April,1
Perturbed (knows),35,April,0.2363,April,1
Perturbed (knows),36,April,0.8879,April,1
NPO fp16,0,behalf,0.2183,April,3785
NPO fp16,1,ijms,0.0705,April,9000
NPO fp16,2,ijms,0.0648,April,6581
NPO fp16,3,ijms,0.0399,April,6948
NPO fp16,4,ijms,0.0454,April,3047
NPO fp16,5,ijms,0.076,April,1843
NPO fp16,6,ijms,0.1093,April,674
NPO fp16,7,ijms,0.0657,April,1053
NPO fp16,8,ijms,0.0111,April,616
NPO fp16,9,the,0.0064,April,374
NPO fp16,10,ijms,0.0829,April,128
NPO fp16,11,ijms,0.1786,April,72
NPO fp16,12,ijms,0.0318,April,27
NPO fp16,13,“,0.0117,April,87
NPO fp16,14,“,0.0099,April,218
NPO fp16,15,“,0.0179,April,66
NPO fp16,16,“,0.0102,April,23
NPO fp16,17,ijms,0.0149,April,2
NPO fp16,18,ijms,0.0361,April,5
NPO fp16,19,ijms,0.0193,April,3
NPO fp16,20,ijms,0.0394,April,56
NPO fp16,21,ijms,0.0067,April,18
NPO fp16,22,ijms,0.0177,April,31
NPO fp16,23,ijms,0.0553,April,60
NPO fp16,24,ijms,0.3275,April,33
NPO fp16,25,ijms,0.3172,April,87
NPO fp16,26,ijms,0.2224,April,97
NPO fp16,27,ijms,0.3597,April,190
NPO fp16,28,ijms,0.2363,April,115
NPO fp16,29,ijms,0.0421,April,104
NPO fp16,30,ijms,0.038,April,53
NPO fp16,31,Costa,0.0296,April,27
NPO fp16,32,ijms,0.0172,April,43
NPO fp16,33,e,0.0361,April,169
NPO fp16,34,e,0.1946,April,1197
NPO fp16,35,e,0.9985,April,7506
NPO fp16,36,e,1.0,April,27009
NPO int8,0,behalf,0.2183,April,3785
NPO int8,1,ijms,0.0727,April,8637
NPO int8,2,ijms,0.0644,April,6297
NPO int8,3,ijms,0.0265,April,6665
NPO int8,4,ijms,0.0325,April,3015
NPO int8,5,ijms,0.0602,April,2078
NPO int8,6,ijms,0.0921,April,798
NPO int8,7,ijms,0.087,April,1023
NPO int8,8,the,0.008,April,651
NPO int8,9,the,0.0069,April,402
NPO int8,10,ijms,0.0505,April,140
NPO int8,11,ijms,0.1114,April,80
NPO int8,12,ijms,0.0226,April,31
NPO int8,13,“,0.0113,April,90
NPO int8,14,“,0.0093,April,214
NPO int8,15,“,0.0175,April,57
NPO int8,16,“,0.0102,April,18
NPO int8,17,April,0.0125,April,1
NPO int8,18,ijms,0.0276,April,4
NPO int8,19,ijms,0.0151,April,2
NPO int8,20,ijms,0.0364,April,52
NPO int8,21,ijms,0.0056,April,16
NPO int8,22,ijms,0.0143,April,25
NPO int8,23,ijms,0.0511,April,54
NPO int8,24,ijms,0.3042,April,31
