method,quant,backend,bits,gold_prob,recall_rate,median_rank,rouge,recovery_fraction,recovery_depth,recovered_frac
IDK,fp16,none,16,0.0088,0.0,16.0,0.0,0.0,20,0.72
IDK,int8,bnb,8,0.0087,0.0,18.0,0.0,0.0,20,0.72
IDK,nf4,bnb,4,0.0087,0.0,16.0,0.0,0.0,21,0.72
IDK,rtn-int4,rtn,4,0.006,0.0,18.0,0.0,0.0,20,0.76
NPO,fp16,none,16,0.0,0.0,4263.0,0.0,0.0,18,0.92
NPO,int8,bnb,8,0.0,0.0,4243.0,0.0,0.0,18,0.92
NPO,nf4,bnb,4,0.0,0.0,3301.0,0.0,0.0,18,0.88
NPO,rtn-int4,rtn,4,0.1471,0.24,3.0,0.085,0.162,20,0.88
RMU,fp16,none,16,0.0629,0.08,546.0,0.04,0.0,20,0.36
RMU,int8,bnb,8,0.0638,0.08,170.0,0.04,0.001,20,0.48
RMU,nf4,bnb,4,0.071,0.08,334.0,0.05,0.01,19,0.4
RMU,rtn-int4,rtn,4,0.0284,0.08,381.0,0.037,0.0,19,0.48
